# epoch      train_loss
      0        0.210433
      1        0.160298
      2        0.146248
      3        0.122935
      4        0.091341
      5        0.068258
      6        0.052111
      7        0.042106
      8        0.031119
      9        0.023320


# epoch validation_loss
      0        0.185001
      1        0.183067
      2        0.185517
      3        0.192562
      4        0.204845
      5        0.218717
      6        0.231114
      7        0.244233
      8        0.253089
      9        0.263428
